texto,real
@americanair why would i even consider continuing your point program when i received no perks or continued bad customer service? #senseless,-1
@americanair we've already made other arrangements ourselves.,0
@americanair thanks for getting back to me. but i will find other airlines in the future.,-1
@americanair why would i pay $200 to reactivate my points that are only useful for certain flights that aren't even worth $200?,-1
"@americanair stranded for 24 hours in mia, patrick casimir has been the only aa staff to apologize for the great inconvenience #unreal",-1
"@americanair no thanks. as i said, being denied miles that expired one week ago was the last drop for me; plan to avoid aa as possible.",-1
"@americanair sorry so late flight, responded to your dm.",-1
"@americanair believe me, i understand. flight #2955. was originally booked for sunday. flight was cancelled flighted and rescheduled for today.",1
"@americanair aa employees were rude and unwilling to help. 10,000 miles is a rotten cherry on top of a dog shit sunday. #nocareforcustomers",-1
@americanair mold on my flight?!? us3825 #filthyplane #hopeidonotgetsick http://t.co/zik2uoxgnw,-1
@americanair 767 seconds from touchdown at madrid airport in april 2013 #avgeek http://t.co/1ywxrfn0gr,0
"@americanair i slept in the miami airport due to mechanical issues and was given 10,000 bonus miles to try and make it right. #slapintheface",-1
"@americanair is the new 9:45 time confirmed or it may get cancelled flightled? traveling with kids, need to be certain. thx",0
@americanair 1hr 46 min. cost of flight change $788. was $188 2hrs ago b/f drop call. cancelled flighted flight. asked 4 refund.,-1
@americanair it's not just frustrating--it was paid for! how do we get a refund?,-1
"@americanair dm the locator code, thanks.",0
@americanair thank you!,1
"@americanair i sure hope you all can fix @usairways. good luck, their service sucks. #nexttimeiwillflysouthwest",-1
@americanair thanks for no fresh food on my cross country flight and for making my connection so close no time to eat. tpa-dfw-lax,-1
"@americanair my flight got cancelled flightled from grk to dfw, then to lex for tomorrow and i need it rebooked.",0
@americanair do you have any sort of live chat feature? we're in the uk right now and that call would cost us alot. :(,0
@americanair your planes made me miss 2 connections in 2 days. thanks for nothing,-1
@americanair i purchased main cabin xt for f-1571aus. flight was cancelled flightled and i was rescheduled on 1600 with regular seats. credit?,-1
.@americanair just disappointed with the flight booking problems process and add’l fees to sit together on a more crowded flight. not impressed so far :-/.,0
@americanair thanks,1
@americanair thx for responding. i cant watch 2 mins of this film w/out it cutting in and out 4 prolonged prds of time. beyond frustrating,-1
@americanair i did,0
.@americanair can you connect me to a person without having to wait 2+ hours on hold? i still haven't been able to resolve the problem.,-1
@americanair r u serious?? 304min #delay with #americanairlines #aa2444 #ohio - #dallas missed my connecting flight http://t.co/dnmsblzumr,-1
"@americanair you are jumping the gun and cancelled flighting flights that could've made it before the snow. now, more cancelled flightlations. it's ridiculous.",-1
@americanair i might look into that. my wife travels much more than i do. could we both use the membership?,1
"@americanair thank you, you too!",0
@americanair what happens when you combine top chef &amp; the beauty of san miguel de allende. my late flightst food blog. http://t.co/7t1rdrcre6,0
"@americanair great, thanks. followed.",1
@americanair this is exactly why ill be flying aa from @dulles_airport to dallas! only airline i trust!,1
@americanair this doesn't address my issue. i am on hold for 30 min to speak with an agent.,-1
@americanair got another flight. thanks you,1
@americanair u r horrible.went online to cancelled flight flight-no button-4that.called cs &amp;wait time 40 mins&amp;put in my #.800#called&amp;it hungupnohelp,0
"@americanair submitted a case to aa customer relations two weeks ago, no word ever since! whats the point of even having cr?",-1
"@americanair if by near the gate you mean sitting on the plane for almost 2 hours, then yeah.",-1
@americanair i don't think you should help him at all based on his behavior. the voucher and cot seem like enough lol 😃,1
@americanair still waiting for a flight... i should get my money back,-1
@americanair i cancelled flighted my flight. i really don’t need this much trouble.,-1
"“@americanair: @andrew_wasila we're sorry you were uncomfortable, andrew. what can we do for you?” sma",-1
"@americanair hi, can you please ticket my award ticket? the status is ""on request"" now. thanks.",0
@americanair got back eventually! was a rollercoaster. once i got to the airport &amp; got to speak to someone things got fixed very quick.,1
@americanair that's 16+ extra hours of travel time. missed vacation time and now you guys are messing with my professional life.,-1
"@americanair checked in on app since yesterday. confirmed upgrade &amp; carry on, got to counter &amp; manager upgraded somebody else on my seat!",-1
@americanair trying desperately to get my boyfriend booked on the same us airways flight as myself for the same price. can you help?,-1
"@americanair yes yes yes,so glad to be headed home!",1
@americanair don't worry. i'll be sending a letter with what i expect from you for compensation. i fly twice a week w/you guys...for now,-1
@americanair thanks!!,1
@americanair thanks keep me updated just hope i make either of my connections to killeen tx,1
@americanair i have been on hold w/customer service line for 68 minutes. this after i was on phone with an agent for 35 min b/f call droped,-1
@americanair i tried to book a rwrd and was told i couldnt. bought tix on usair (now aa-no choice) didn't bother to + aadv# with this svc...,-1
@americanair did you know that suicide is the second leading cause of death among teens 10-24?,0
@americanair narrowly made standby...lots of snags this trip!,-1
@americanair @pbpinftworth iphone 6 64gb (not 6 plus),0
"@americanair i ordered it as i always do. but on a 9hour flight delayed for 4 hours, it was worse than ever before when you forgot my meal.",-1
@americanair thanks so much!,1
"@americanair @robertdwyer aa doesnt charge any fees to change award tickets as long as the origin, destination &amp; award type remains the same",1
@americanair i need a flight out tonight. isn't there anything else?,-1
@americanair thank you for the confirmation.,1
"@americanair spent $8 for the choppiest feed of ""whiplash"" ever. #americanairlinesfail #iwantmymoneyback",-1
@americanair ok i will call them likely tmrw uk time to question the process getting the change charge reversed due to a bereavement,0
@americanair - please find my bag!! in singapore for three days already without my bag. last known destination lax tag: 580815 please help.,-1
@americanair “inconvenient” is such a convenient word.,-1
"@americanair
 your response could have made all the difference. it could have made the situation better. no trust...get lost like my bag.",-1
"@americanair delayed on the way to puerto rico and delayed on the way back to new york, this is disgraceful",-1
"@americanair that's ok...you may keep my $25 and lose my bag with no info, but you no longer have my trust. bad way to handle this.",-1
@americanair come on i just want to go home i can't miss another day of work #stuckinmemphis #texasisclosed,-1
@americanair here is the photo ;) http://t.co/vmquurzupw,0
@americanair you guys are killing me. http://t.co/22ipgeicsm,-1
@americanair aww cool! it's nice to know they are still up above my head then. one of my faves.,1
@americanair what's the status of flight 1357 out of sju?,0
"@americanair would love to dm you, but my twitter app says you're not following me and i can't.",0
"@americanair its not that i wasn't offered ""perks"" by @usairways. i asked and was told, ""no."" #thenewamerican",-1
@americanair good care of their customers if anything happen to then take you @delta ∫for getting me back to nyc !! screw you @americanair,-1
@americanair cost me over 200 dollars because flight was cancelled flightled and couldn't even give me a food comp!! fly @jetblue @delta they take,-1
@americanair they will just say dumb things to beat around the bush ! if you're flight cancelled flightled be prepared for no compassion from them,-1
@americanair yes to the ios. i'm running ios 8.1.3,0
@americanair worst company ever please do not fly with them i repeat please do not fly !! they will not credit you if you're delayed,-1
"@americanair continues to win: i've never missed a flight before, but a nice little quiet gate change made it possible. sheesh.",1
@americanair - keeping aa up in the air! my crew chief cousin alex espinosa in dfw! http://t.co/0hxlnvzknp,0
"@americanair lost my cats, missed their flights, kept them crated 30 hrs for a would-be 5 hr trip. you'll never touch my pets again.",-1
@americanair don't worry you won't steal my money again,-1
