texto,real
"@foxnewssunday hey chris, why didn’t you push @joebiden to answer your ?’s about packing the supreme court, denouncing blm or antifa? why? why so biased? #biasedwallace #debates2020 #debate2020 @realdonaldtrump",0
@hillaryclinton @joebiden that’s right bc we aren’t a democracy. we are a constitutional representative republic. @realdonaldtrump is out to save the republic. and despite everything you and everyone in your party and even his party have done he’s done a fantastic job.,1
💥#wakeupamerica💥@cortessteve @joebiden sold out america joe’s sellout to the ccp caused 60000 american factories to close biden shipped millions of american jobs to china &amp; what did the chinese communist party send us back in return the virus @realdonaldtrump #vote2020 kag 🇺🇸 https://t.co/uy9rgxlgvs https://t.co/kidd0piozz,1
@foxnews you are all insane! @joebiden go out and win this race. campaign line you never gave before. @realdonaldtrump is still talking sh%#!!! you were decent and took your ads down. please run them. republicans are still running ads. one month no time to be nice.,-1
"@adrianchesa @joebiden no creo en los polls. tampoco es bueno controlar las 2 cámaras. yo creo q el discurso d @realdonaldtrump será ahora cdo se cure,compararse c @joebiden en resistencia d salud q hagan dudar en votar al demócrata.",0
"@joebiden you and your buddy @kamalaharris refuse to stop asshole companies like @chase from taking advantage of the american people. i want to vote for you, but how are you better than @realdonaldtrump ? from the poor american perspective you aren't.",0
"told you so!!!!!! 💋 @joebiden &amp; @kamalaharris you're both liars, so if you want huge rally crowds at your rallies advertise @realdonaldtrump will be speaking!!!!! thousands will come!!!! 💋 https://t.co/icmmhodrxx",0
how can anyone in their right mind even think @joebiden has any hope of winning when you see this kind of support for president @realdonaldtrump everywhere 🇺🇸 you know democrats @hillaryclinton are working to rig it somehow there’s no other way and @drbiden is hiding it from him! https://t.co/0othblk7ia,0
@joebiden mr. biden. i watched the first presidential debate and the thing i keep coming back to is when you said i am the democrat party. well with all due respect why haven't you called nancy pelosi and told her to pass a stimulus bill now. the way @realdonaldtrump did.,0
"but antifa is just an “idea”, right @joebiden? #bidenriots #bidengate #antifablmdomesticterrorists #bidencampaign #bidencoalition #bidenharris #bidencorruption #trump2020landside @realdonaldtrump",1
@jaketapper ends interview with #laratrump over disgusting @joebiden smear campaign https://t.co/5k3yqkrhqe @laraleatrump embarrass herself on national tv they question #biden mental competence @realdonaldtrump i say 🥂disinfectant watch @briantylercohen break it all down #vote,0
@johncarneyforde @johncarneyforde @de_doj when are you going to arrest #hunterbiden and @joebiden for their #crimes? #pedophelia #treason #sextapes @fbi @potus @realdonaldtrump #trump #trump2020,0
@felipecalderon @lopezobrador_ @joebiden jajaja hay borolas. mejor pon tus barbas a remojar. por que si gana trump vas directo al bote mijo. quiero que gane @potus @realdonaldtrump nada más por el placer de verte en la cárcel.,0
@realdonaldtrump https://t.co/pcmhcz6mia,-1
@centv6 @realdonaldtrump no face...zero credibility and substance...,0
"so @realdonaldtrump has been fever free for 24 hours? why go to walter reed last night? if he is fever free, he’s been sick for atleast a week. #superspreader @potus",-1
"@realdonaldtrump @flotus bless your heart. ""thoughts and prayers. "" #wedontbeliveyou #fakenewstoavoiddebates",0
"prayers for @realdonaldtrump and our first lady for a fast and complete recovery. but on a lighter note, being quarantined with melania trump couldn’t be all bad. #trump2020landslidevictory #trump2020nowmorethanever",1
@tooks_tooklets @chicago1ray @realdonaldtrump dream big fight hard? really? what do you dream big about and what do you fight hard for? socialism?,0
@danscavino @mike_pence @realdonaldtrump trump’s america,0
@deshawncabezadk @davidjharrisjr @realdonaldtrump trump happened,0
@therightmelissa @realdonaldtrump @flotus stfu u piece of shit. ur also ignorant as fuck,0
"@wolfblitzer @realdonaldtrump @flotus when all of them are fine and recover, will you finally shut up about this or will the goalpost move again?",0
"@pastormarkburns @realdonaldtrump i agree they were “targeted”. targeted by their own arrogance, ignorance and utter disregard for others. #rosegardenmassacre #rosegardensuperspreader #trumpincompetence #trumpmurdered208kamericans #trumpmustgo https://t.co/de50ac8wpr",-1
@realdonaldtrump trump has no plan for you. that should be obvious. his only plan is to find a way outta of prison. that's it #trumpisaracist #trumpisatraitor #trumpisadisgrace,-1
@realdonaldtrump the only fake news is your fake covid test,-1
@davidmweissman @realdonaldtrump lmao you're a joke,0
hey @realdonaldtrump u lost the popular vote by almost three million votes,-1
@pheadrick @realdonaldtrump did you read the whole new york times article? or take what some one told you about it,0
"@realdonaldtrump analysis complete. key phrases include: hunter biden report bombshell, son, greggjarrett, problems, obama white house. more at https://t.co/a90gfjrcga",0
"@realdonaldtrump the gerbils have spoken to the queen and she’s willing to take the colonies under protection until such a time as someone, anyone, who isn’t a total fucking psychopath muptard takes the job of president. her words, not theirs 👀 #staygerbil 🐹",0
@murray_nyc @realdonaldtrump @flotus trump isn’t the one trying to get out of future debates. that’s the left.,0
@realdonaldtrump many prayers to you and your family 4 more year. 4 more years,1
@realdonaldtrump 🤮,0
"that dirty ass orange don’t have no fucking corona…😒 and if he does have it, im glad he does!!!!! fuck @realdonaldtrump",-1
"@tulsigabbard @realdonaldtrump @flotus very kind of you to say this, i definitely would have voted for you much love stay safe",1
@realdonaldtrump so when does the presidency end according to biden it’s when the day of voting starts so the president can’t do anything after november 4 per biden a he is just biden not vp he is not in that position no more stop calling him that just mr biden,0
@realdonaldtrump “space force” #bidenharris2020 @joebiden https://t.co/inc2qag9op,0
@realdonaldtrump “i think?” 😩,0
@micheal51770 @realdonaldtrump @potus 👉follow @nonsense_planet ifb👍,0
@realdonaldtrump stop testing! it’s all a hoax. she’s fine and so are you. or were you lying...,0
"@goatinphilly @im1voice @nbcnews @gop @realdonaldtrump if you want to shut in for a year to stave off a 1/5,000 chance of dying, be my guest but if you’re old or scared or fat, please stay home",0
@maskedjamzee @nmalliotakis @realdonaldtrump this is protest so no #bidenharrisclintonpelosishumercacusislamistantifablmvirus,0
@bridgetphetasy @glennbeck @realdonaldtrump your mileage may vary. nearly everyone i know who has had it called it a mild-to-strong flu and required no hospitalization at all.,0
@realdonaldtrump 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😳🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😳😳😳😳😳😳😳😳😳😳😳😳🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0
@gnuseibeh @realdonaldtrump @joebiden as your eyes and ears should tell you biden is a gentleman. but no! he is not dealing with a gentleman. so no get it over with.,0
@babynamerra @_carolinepaige_ @hassenach @realdonaldtrump @flotus 😂😂😂,0
@mmpadellan @realdonaldtrump your is the typical liberal apocalypse mongering mentality... get over it..,0
@mayortarantino @molly_knight @presssec @realdonaldtrump blessings on #trumpthepeacemaker #trumpthepeacemaker blessed are the peacemakers for they will be called the sons of god #trumpthepeacemaker #trumpthepeacemaker #trumpthepeacemaker #trumpthepeacemaker #trumpthepeacemaker,1
@realdonaldtrump great again,1
@realdonaldtrump https://t.co/bzgx2iahga,0
"@kaitlancollins god punished @realdonaldtrump for wife cheating , pussy grabbing , and fucking a porn star , and rape https://t.co/u81rm527fn",-1
@realdonaldtrump biden winning big,0
@realdonaldtrump @flotus #fakenews,0
"@ahernandez85b @realdonaldtrump trump doesn't even need the questions, since he just rants without any context.",-1
@realdonaldtrump @flotus you reap what you sow. to all spewing liberal left true colors tweets; i wish you well. you are gonna need it and the results will be only on you. god bless the potus and flotus!,1
@realdonaldtrump stop being a huge huge lier and a big big baby,-1
thing is... trumps adviser is not @realdonaldtrump,0
